DATE	OPEN	HIGH	LOW	CLOSE	VOLUME
2021-05-09 22:00:00+02:00	47378.38	47887.53	47305.1	47853.47	108.174298
2021-05-09 23:00:00+02:00	47853.47	47988.11	47722.8	47866.64	88.130907
2021-05-10 00:00:00+02:00	47866.46	47986.43	47698.22	47762.67	84.112746
2021-05-10 01:00:00+02:00	47763.05	48125.9	47763.05	47964.22	65.53139
2021-05-10 02:00:00+02:00	47971.29	48509.27	47828.04	48508.3	76.843403
2021-05-10 03:00:00+02:00	48498.99	48627.6	48319.61	48389.37	50.986758
2021-05-10 04:00:00+02:00	48399.29	48705.47	48352.85	48635.3	59.613701
2021-05-10 05:00:00+02:00	48647.02	48951.18	48591.84	48902.49	111.822976
2021-05-10 06:00:00+02:00	48912.47	49038.15	48629.19	48767.36	125.121554
2021-05-10 07:00:00+02:00	48764.77	48971.99	48376.85	48647.63	143.136536
2021-05-10 08:00:00+02:00	48651.34	48768.7	48432.46	48495.71	103.417238
2021-05-10 09:00:00+02:00	48495.7	48598.86	48122.69	48158.34	151.517031
2021-05-10 10:00:00+02:00	48158.33	48336.21	47914.41	48103.64	193.541245
2021-05-10 11:00:00+02:00	48103.64	48298.98	47645.17	47770.0	185.539168
2021-05-10 12:00:00+02:00	47770.0	47991.83	47480.84	47712.25	179.599985
2021-05-10 13:00:00+02:00	47718.14	48092.39	47300.0	47949.77	215.076574
2021-05-10 14:00:00+02:00	47957.11	48082.16	47518.35	47600.92	218.485584
2021-05-10 15:00:00+02:00	47600.91	47800.0	47366.33	47572.64	228.64387
2021-05-10 16:00:00+02:00	47561.81	47561.81	46943.42	46943.43	264.271662
2021-05-10 17:00:00+02:00	46943.42	48108.76	46812.76	48090.32	248.026877
2021-05-10 18:00:00+02:00	48085.41	48323.22	47492.72	47500.01	189.019142
2021-05-10 19:00:00+02:00	47492.72	47586.95	46926.14	47040.55	225.880497
2021-05-10 20:00:00+02:00	47040.56	47215.17	46634.3	46950.15	232.200453
2021-05-10 21:00:00+02:00	46937.88	47110.66	46083.02	46200.12	336.57139
2021-05-10 22:00:00+02:00	46207.11	46294.15	44290.0	45879.03	854.19315
2021-05-10 23:00:00+02:00	45879.05	46301.87	45730.01	46202.29	190.810447
2021-05-11 00:00:00+02:00	46195.33	46612.06	46013.0	46612.06	173.544556
2021-05-11 01:00:00+02:00	46604.79	46609.58	45951.02	46243.17	122.448662
2021-05-11 02:00:00+02:00	46243.13	46706.24	45933.11	45933.11	112.76873
2021-05-11 03:00:00+02:00	45932.99	46204.9	45628.92	45978.04	149.286819
2021-05-11 04:00:00+02:00	45978.09	46261.49	45127.39	45191.55	127.973407
2021-05-11 05:00:00+02:00	45188.12	45702.39	45073.67	45619.06	108.676295
2021-05-11 06:00:00+02:00	45611.66	45992.98	45498.0	45771.2	103.533116
2021-05-11 07:00:00+02:00	45776.16	45894.71	45196.51	45340.83	115.677638
2021-05-11 08:00:00+02:00	45345.74	46160.82	45286.36	46079.42	172.971365
2021-05-11 09:00:00+02:00	46079.43	46204.24	45837.29	46082.61	173.978158
2021-05-11 10:00:00+02:00	46091.93	46170.62	45515.04	45640.67	237.087369
2021-05-11 11:00:00+02:00	45642.15	46159.48	45630.53	46069.38	188.564749
2021-05-11 12:00:00+02:00	46062.36	46306.11	45955.04	46029.74	192.72914
2021-05-11 13:00:00+02:00	46029.74	46121.53	45435.86	45484.66	203.464863
2021-05-11 14:00:00+02:00	45474.98	45646.64	45120.21	45594.14	221.510368
2021-05-11 15:00:00+02:00	45594.14	45883.45	45240.75	45883.45	188.282045
2021-05-11 16:00:00+02:00	45883.43	46015.42	45688.89	45884.33	166.576342
2021-05-11 17:00:00+02:00	45883.2	46268.06	45800.0	46181.52	145.728258
2021-05-11 18:00:00+02:00	46181.53	46565.0	45966.32	46170.94	187.817567
2021-05-11 19:00:00+02:00	46170.94	46597.0	46120.45	46538.53	99.296676
2021-05-11 20:00:00+02:00	46518.96	46816.99	46444.96	46555.24	142.308348
2021-05-11 21:00:00+02:00	46560.92	46929.65	46524.72	46771.48	103.936815
2021-05-11 22:00:00+02:00	46771.48	46975.16	46666.0	46941.51	106.220874
2021-05-11 23:00:00+02:00	46941.71	46977.74	46540.6	46688.46	88.121068
2021-05-12 00:00:00+02:00	46699.02	46780.34	46525.12	46593.58	81.212153
